Storia is a brand amplification agency that combines the unceasing creativity of a design studio with the strategic ingenuity of performance marketing into a one stop shop. This gives our team the opportunity to craft  sharpen & hone transformative brand narratives that drive results for the client and action for the audience.We are currently looking for a Copywriter with 2-4 years of experience working at digital marketing agencies. The copywriter will work in partnership with graphic design teams across a diverse portfolio of brands with projects spanning paid advertising (search & social)  website design  SEO content and email marketing. A great attitude and strong work ethic is a must.Responsibilities:Craft compelling copy across various marketing channels including paid advertising  email marketing  presentations  website and blogsMaintain consistency in tone of voice when writing for brands across multiple placements & platforms  and create variations based on what works best for each channelCollaborate with cross-functional teams  such as project managers and designers  to ensure alignment and create impactful copy that compliments the visual materialsMaintain proactive communication with the project team to ensure timely delivery of all copy-related deliverablesParticipate in creative and strategic discussions  as well as contribute to client presentationsEffectively articulate and present copy concepts and ideas to internal teams and clientsAddress and incorporate internal and client feedback to refine and enhance copywritingThoroughly proofread all copy and ensure it’s ready for launchStay up-to-date on client-related industry trends  social media trends  etc. Manage multiple high-volume projects concurrently  often with short turnaround timesRequired Skills & Experience: Proven experience in conversion or paid advertising copywritingStrong understanding of digital marketing and paid advertising2-4 years of experience in copywriting2-4 years experience at a marketing agency.Speaks fluent EnglishStrong command over grammar & spellingStrong presentation skillsStrong oral and written communication skills requiredStrong organizational  communication and conceptual thinking skills  as well as attention to detail(Preferred) Fluency in SpanishTime Requirement: 40 Hours per weekSchedule: Monday to Friday  9am - 5pm ESTPlease provide a portfolio or writing examples along with your resume. Thank you!,Entry level,Full-time
EDITORIAL ASSISTANTSAUSALITO  CA ABOUT THE ROLE:Serena & Lily is seeking an Editorial Assistant to join our newly created Storytelling team to build best in class content at Serena & Lily. The ideal candidate will be intrinsically motivated  a burgeoning writer  with a passion for home décor  and interest in growing your career in the lifestyle space. This role reports to the VP of Storytelling and supports the Editor and Editorial Copywriter. RESPONSIBILITIES INCLUDE:Writing Creative writingCopywritingAssist in research and conceptingDistribute core stories and messaging across channelsWebsite email  print  and digital marketing contentTeamwork:Work cross functionally with our Creative  Product Design  Merchandising  Marketing  and Ecommerce teams to meet the strategic needs of the business QUALIFICATIONS:A love of interior design and the Serena & Lily brand2+ years of writing experience in journalism  at an agency  in house  or a related fieldWriting samples or a portfolioCollaborative  supportive team player with a good sense of humorCreative agility  proactive  and curious.An engaged learner who embraces challenges and is accountable.Bachelors degree in Creative Writing  Advertising (Writing)  Journalism  Communications  English Literature  or related field is preferred. COMPENSATION:$70-75K per year is the anticipated starting base pay for this role. This range represents the low and high end of the anticipated base salary range for this role. The actual base pay is dependent upon many factors  such as: experience  education  and skills.Employees (and their families) are covered by medical  dental  vision  and basic life insurance should they choose to participate in Serena & Lily’s benefits. Employees can enroll in our company’s 401k plan. During the first year of employment  full-time employees accrue twenty-one days of PTO and seven paid holidays throughout the year.,Associate,Full-time
EDITORSAUSALITO  CASerena & Lily is seeking an editor to join our newly created Storytelling team to build best in class content at Serena & Lily. In this position  you will work independently and collaboratively on initiatives of varying scale. You will take concepts from ideation to publication on deadline. The ideal candidate is an intrinsically motivated  seasoned writer and editor with excellent research and reporting skills  lifestyle experience  and a passion for home décor. You actively keep up to date on trends and happenings in the competitive space. You have interest in understanding our customer  what motivates and resonates with her  and ultimately deepens her connection with our brand. You distill data and identify opportunities. This role reports to the VP of Storytelling and will partner closely with her and other key stakeholders to execute our creative strategy.RESPONSIBILITIES INCLUDE:Writing & Editing:Long form editorial  research  and reportingCopyeditingProduct naming and copywritingPrint editorialWebsite  email  and digital marketing contentManagement and Teamwork:Work cross functionally with our Creative  Product Design  Merchandising  Marketing  and Ecommerce teams to create stories that meet the strategic needs of the businessMeet timelines  continually improve systems and processes  and respond to analytical findings to drive performance and efficiencyQUALIFICATIONS:A love of interior design and the Serena & Lily brand10+ years of writing experience in journalism  at an agency  in house  or a related fieldAn adroit storyteller who can be persuasive in as few as 20 words or as many as 2 000Proven research  reporting  and copyediting skillsA compelling portfolio  multimedia experience a plus.Highly organized  able to multi-task and prioritize efficiently  with a strong sense of accountabilityCollaborative supportive team player with a good sense of humorPrior experience mentoring and managing writersCreative agility  proactive  and curious. A continual learner who embraces challengesBachelors or Masters degree in Creative Writing  Advertising (Writing)  Linguistics  Journalism  Communications  English Literature  or related field is preferred.COMPENSATION:$120-130k per year is the anticipated starting base pay for this role. This range represents the low and high end of the anticipated base salary range for this role. The actual base pay is dependent upon many factors  such as: experience  education  and skills.Employees (and their families) are covered by medical  dental  vision  and basic life insurance should they choose to participate in Serena & Lily’s benefits. Employees can enroll in our company’s 401k plan. During the first year of employment  full-time employees accrue twenty-one days of PTO and seven paid holidays throughout the year.,Mid-Senior level,Full-time
NYLON is seeking a freelance beauty and fashion writer.   NYLON readers are experimental when it comes to style and beauty and are curious about all sorts of beauty and fashion-related news and trends  so interested applicants should be  too. We're looking for candidates who can quickly cover the latest product drops and collaboration announcements  compile SEO-optimized beauty and fashion trend roundups  identify on-brand celebrity beauty and fashion news as well as breaking viral trends on platforms like TikTok and YouTube  and so much more.   The ideal candidate should be an experienced writer who is in-the-know about the biggest beauty-and-fashion stories of the moment  and ready to get in on the conversation from the NYLON point of view. Published writing clips and experience working in a fast-paced  digital environment are required.  In your cover letter  please tell us your favorite beauty and fashion topics to cover  as well as your favorite sources for beauty and fashion news. We're especially looking for writers who approach both categories through the lens of pop and internet culture  and a unique  diverse  and inclusive point of view. Responsibilities Sweep the internet for trending fashion and beauty storiesPitch article ideas with unique angles and headlines Create and publish 3-4 stories per dayRequirements 1-2 years of beauty and/or fashion writing experience  preferably in the digital realmAbility to write clean copy with a quick turnaround time An established portfolio of published clips Eagerness to jump on breaking and trending stories and topics in the beauty and fashion spheres Available to work remotely 3-4 days per week BDG is one of today’s leading global media companies with a portfolio of distinct digital and experiential brands that are shaping culture through its authentic and trusted storytelling. Audiences turn to our brands – Bustle  Elite Daily  The Zoe Report  NYLON  Inverse  Mic  W  Romper  Scary Mommy  Fatherly  and The Dad – to hear from a set of diverse voices around the interests engaging the next generation. Founded in 2013  the Company reaches over 223 million readers and social fans and serves hundreds of the world's largest advertisers. BDG has global offices in New York  Los Angeles  Miami  London  and Paris.BDG is one of today’s leading global media companies with a portfolio of distinct digital and experiential brands that are shaping culture through its authentic and trusted storytelling. Audiences turn to our brands – Bustle  Elite Daily  The Zoe Report  NYLON  Inverse  Mic  W  Romper  Scary Mommy  Fatherly  and The Dad – to hear from a set of diverse voices around the interests engaging the next generation. Founded in 2013  the Company reaches over 223 million readers and social fans and serves hundreds of the world's largest advertisers. BDG has global offices in New York  Los Angeles  Miami  London  and Paris.$75/ Per Piece,Entry level,Full-time
Our client  a women's apparel brand  is looking for a Junior Copywriter to join their team for a 3 month contract! The Junior Copywriter will write marketing and editorial copy across the various marketing channels including the website  email  social media  digital ads  stores and more. This role will work remotely.Responsibilities:Conceptualize  write and edit marketing campaigns  tag lines and product storiesDevelop and support our unique brand voice  balancing a fun and relatable tone with the seriously impressive benefits of the productCraft compelling content across our omni-channel experience including for the website  email blasts  social captions  store signs and moreAnalyze the data collected across our marketing channels (e.g.  emails  website  digital advertising  direct mail  etc.) to create copy that results in actionWrite SEO-rich copy that helps ranks high in organic searchesBe responsible for gaining in-depth knowledge of our products and programs  staying up-to-date on relevant pop culture and social perception  and researching other brands to keep a competitive edgeEdit and proofread copy to ensure it is accurate  consistent  grammatically correct and that the message speaks to the target audience in a cohesive brand voice throughout multiple channelsCompile  write  copy  format and edit e-commerce product descriptions ensuring accuracyRequired Qualifications:Bachelor's degree in a related field1-3 years of in-house or advertising agency copywriting experienceExcellent verbal and written communication skills including an ability to work in a team environment and give honest  direct feedbackInitiative to proactively address opportunities or issues without supervisionManage multiple projects and effectively prioritizes tasks  responsibilities and goals to create action plans  and organize and schedule tasksAdapt and stay flexible when dealing with unresolved situations  frequent change  delays  or unexpected events—maintaining composure and objectives even as priorities shiftAccountable for results  approach obstacles proactively and look for ways to resolve problems and issuesStrong computer and organizational skills with attention to detailIf you meet the required qualifications and are interested in this role  please apply today. The Solomon Page DistinctionSolomon Page offers a comprehensive benefit program for hourly employees. We pride ourselves on offering medical  dental  401(k)  direct deposit and commuter benefits to our employees  including freelancers - which sets us apart in the industries we serve.About Solomon PageFounded in 1990  Solomon Page is a specialty niche provider of staffing and executive search solutions across a wide array of functions and industries. The success of Solomon Page reflects an organic growth strategy supported by a highly entrepreneurial culture. Acting as a strategic partner to our clients and candidates  we focus on providing customized solutions and building long-term relationships based on trust  respect  and the consistent delivery of excellent results. For more information and additional opportunities  visit: solomonpage.com and connect with us on Facebook  and LinkedIn.Opportunity Awaits.,Associate,Contract
DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.We are looking for a Freelance Writer to join our team and teach AI chatbots. You will have conversations with chatbots in order to measure their progress  as well as write novel conversations in order to teach them what to say.Benefits:This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly  starting at $20+ USD per hour  with bonuses for high-quality and high-volume workResponsibilities:Come up with diverse conversations over a range of topicsWrite high-quality answers when given specific promptsCompare the performance of different AI modelsResearch and fact-check AI responsesQualifications:Fluent in English (native or bilingual level)A bachelor's degree (completed or in progress)Excellent writing and grammar skillsStrong research and fact-checking skills to ensure accuracy and originality,Not Applicable,Contract
Robert Half's marketing & creative client is looking for a Freelance Copywriter for a 2+ month contract in the Greater Boston area. This is a remote opportunity but candidates should be able to attend eastern (EST) hours for meetings; this role will be project-based and hours will vary. The Freelance Copywriter will be responsible for writing a variety of B2B and B2B2C campaign and digital content for the commercial banking/payment industry. Content will range across landing page  emails  social  web  and digital ad channels. Interested candidates should submit a portfolio of relevant writing samples. Must have direct commercial banking/finance experience. If interested and available  apply today! Qualifications: Degree in writing  marketing  or similar 4+ years of copywriting experiencePrior commercial banking industry experience Portfolio of relevant writing samples Experience writing across a variety of digital channels B2B and/or B2B2C writing experience Ability to thrive in a fast-paced  independent working environment Detail-oriented Ability to transform concepts and creative briefs into strong content Self-starter,Mid-Senior level,Part-time
Job Title:-Content WriterLocation:-RemoteCandidate need to be bilingual- (Spanish and English)Job Summary:-We are seeking experienced and knowledgeable Subject Matter Experts (SMEs) in the field of Englishto join our team. As an SME  you will play a critical role in building data sets for large language model training (similar to ChatGPT  Bard  Bing  and HuggingChat  for example). Your role will include writing/authoring responses to a wide range of prompts in your field of expertise  which will enable us to enhance the capabilities and knowledge base of our language model. Responsibilities• Create/generate high-quality responses to given prompts across a wide variety of topics within your field of knowledge  from simple to more complex levels of difficulty. • Exhibit exceptional expertise in creative English writing within your field of knowledge  while making sure to utilize: o Reliable and relevant sources to gather information and facts for your responses. o Appropriate and consistent language  tone  and style for your responses. o Creative and engaging techniques to make your responses interesting. • Conduct in-depth research to gather precise and relevant information to provide an accurate response. • Ensure the accuracy  coherence  clarity  and quality of your response. • Provide constructive feedback and valuable insight regarding techniques and strategies for writing responses. • Contribute to the continuous improvement of our language model by identifying potential areas of enhancement and suggesting new prompt ideas. • Collaborate with other SMEs to maintain consistency and quality across the prompt generation process.   Requirements• Bachelor’s to master’s (or higher) degree in English from Top Tier colleges. .• US Native level English proficiency   well versed with writing and reading in their language  with excellent written and verbal communication skills. • Working experience in content writing  blogging  problem-solution writing  and editing of text.• Demonstrated ability to generate clear  concise  and engaging content. • Strong research skills and ability to gather information from credible sources. • Familiarity with large language models and their applications is a plus. • Ability to work independently and meet deadlines. • Attention to detail and commitment to delivering high-quality work. • Flexibility to adapt to changing project requirements and priorities. • Collaborative mindset and willingness to work with a multidisciplinary team. • Excellent US English and strong US Popular culture are both mandatory.• Eye for current events  interests in recent and most popular trends  understanding social media lingo  Social Media Intelligence Quotient• Strong disciplined in compliance in the speedy environment.• Creative writing  creative technical writing & feature writing experiences; Exposure to multiple genres• Strong spoken English or "English Language Verbal Intelligence",Entry level,Full-time
Our Boston based client is looking for a Copywriter with 4+ years' experience as well as industry experience writing in the telecommunications or financial industry. The Copywriter will be creating website copy  short and long-form content  blog posts  emails and social media content and B2B experience required for this role.. Previous samples of writing for commercial banking or commercial payments required for this role.RESPONSIBILTIES:Work closely with the Creative Director and additional creative members of the team supporting content for collateral  presentations  blogs  and social media.Craft social media copy for our thought leadership articles Get familiar with our audience and products. Understand who our customers are and what matters to them most.Thoughtfully and gracefully take critical feedback and quickly implement revisions to meet the stakeholder’s goals.Develop and nurture relationships with colleagues — creative  strategy  social channel leads  traffic and proofreading — to help work flow smoothly from kick-off to out-the-door.QualificationsExcellent creative online portfolio or work samples  must provide link or PDFSuperb writing and editing skills5+ years’ copywriting experience with an agency or brand or 1+ years experience professional work experience and internship experience.Knowledge of best practices for social media marketing –Instagram  Facebook  Linked In  Twitter  Pinterest  Snapchat,Mid-Senior level,Contract
DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.We are looking for a Freelance Writer to join our team and teach AI chatbots. You will have conversations with chatbots in order to measure their progress  as well as write novel conversations in order to teach them what to say.Benefits:This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly  starting at $20+ USD per hour  with bonuses for high-quality and high-volume workResponsibilities:Come up with diverse conversations over a range of topicsWrite high-quality answers when given specific promptsCompare the performance of different AI modelsResearch and fact-check AI responsesQualifications:Fluent in English (native or bilingual level)A bachelor's degree (completed or in progress)Excellent writing and grammar skillsStrong research and fact-checking skills to ensure accuracy and originalityNote: Data Annotation payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD.,Not Applicable,Contract
